species,day,time,mq135Value
Mackerel,1,11:37:11.330962,72
Mackerel,1,11:37:53.886466,71
Mackerel,1,11:37:54.993631,71
Mackerel,1,11:37:56.182681,69
Mackerel,1,11:37:57.385316,66
Mackerel,1,11:37:58.594859,74
Mackerel,1,11:37:59.797733,72
Mackerel,1,11:38:01.003607,71
Mackerel,1,11:38:02.211680,69
Mackerel,1,11:38:03.423125,70
Mackerel,1,11:38:04.618376,70
Mackerel,1,11:38:05.829216,68
Mackerel,1,11:38:07.042458,66
Mackerel,1,11:38:08.235946,66
Mackerel,1,11:38:09.444542,71
Mackerel,1,11:38:10.659669,73
Mackerel,1,11:38:11.851781,73
Mackerel,1,11:38:13.067916,70
Mackerel,1,11:38:14.263029,70
Mackerel,1,11:38:15.478160,73
Mackerel,1,11:38:16.675266,71
Mackerel,1,11:38:17.892404,71
Mackerel,1,12:36:44.558390,69
Mackerel,1,12:36:45.665948,66
Mackerel,1,12:36:46.869934,69
Mackerel,1,12:36:48.070343,66
Mackerel,1,12:36:49.270709,68
Mackerel,1,12:36:50.481846,72
Mackerel,1,12:36:51.690303,69
Mackerel,1,12:36:52.891487,69
Mackerel,1,12:36:54.103532,65
Mackerel,1,12:36:55.310080,69
Mackerel,1,12:36:56.511967,68
Mackerel,1,12:36:57.719345,70
Mackerel,1,12:36:58.922613,71
Mackerel,1,12:37:00.124635,68
Mackerel,1,12:37:01.336386,68
Mackerel,1,12:37:02.532950,67
Mackerel,1,12:37:03.748368,70
Mackerel,1,12:37:04.945041,69
Mackerel,1,12:37:06.155464,68
Mackerel,1,12:37:07.364828,72
Mackerel,1,12:37:08.562041,71
Mackerel,1,12:38:35.793427,69
Mackerel,1,12:38:36.897876,70
Mackerel,1,12:38:38.088674,70
Mackerel,1,12:38:39.302282,69
Mackerel,1,12:38:40.498596,66
Mackerel,1,12:38:41.701763,65
Mackerel,1,12:38:42.906660,68
Mackerel,1,12:38:44.115851,69
Mackerel,1,12:38:45.329097,64
Mackerel,1,12:38:46.527258,69
Mackerel,1,12:38:47.730592,69
Mackerel,1,12:38:48.933419,64
Mackerel,1,12:38:50.147692,68
Mackerel,1,12:38:51.357721,64
Mackerel,1,12:38:52.562128,68
Mackerel,1,12:38:53.767710,68
Mackerel,1,12:38:54.967909,65
Mackerel,1,12:38:56.180592,64
Mackerel,1,12:38:57.377389,70
Mackerel,1,12:38:58.592094,65
Mackerel,1,12:38:59.797098,69
Mackerel,1,12:40:30.192847,72
Mackerel,1,12:40:31.309721,66
Mackerel,1,12:40:32.499573,71
Mackerel,1,12:40:33.695583,69
Mackerel,1,12:40:34.910579,72
Mackerel,1,12:40:36.114044,70
Mackerel,1,12:40:37.318323,66
Mackerel,1,12:40:38.516828,70
Mackerel,1,12:40:39.727283,66
Mackerel,1,12:40:40.934208,69
Mackerel,1,12:40:42.145231,70
Mackerel,1,12:40:43.346703,70
Mackerel,1,12:40:44.557446,72
Mackerel,1,12:40:45.758665,72
Mackerel,1,12:40:46.958691,72
Mackerel,1,12:40:48.162588,70
Mackerel,1,12:40:49.372369,70
Mackerel,1,12:40:50.575473,67
Mackerel,1,12:40:51.790219,71
Mackerel,1,12:40:52.994889,73
Mackerel,1,12:40:54.197996,71
Mackerel,1,12:41:31.555539,69
Mackerel,1,12:41:32.671023,68
Mackerel,1,12:41:33.852118,72
Mackerel,1,12:41:35.049234,65
Mackerel,1,12:41:36.254883,65
Mackerel,1,12:41:37.466615,71
Mackerel,1,12:41:38.663238,65
Mackerel,1,12:41:39.879876,65
Mackerel,1,12:41:41.078988,68
Mackerel,1,12:41:42.287376,69
Mackerel,1,12:41:43.495947,71
Mackerel,1,12:41:44.695730,68
Mackerel,1,12:41:45.899325,69
Mackerel,1,12:41:47.108585,70
Mackerel,1,12:41:48.315618,69
Mackerel,1,12:41:49.516580,66
Mackerel,1,12:41:50.721531,71
Mackerel,1,12:41:51.929784,71
Mackerel,1,12:41:53.137815,69
Mackerel,1,12:41:54.338549,68
Mackerel,1,12:41:55.550116,65
Mackerel,1,12:42:41.995157,66
Mackerel,1,12:42:43.099468,63
Mackerel,1,12:42:44.285301,68
Mackerel,1,12:42:45.483441,64
Mackerel,1,12:42:46.702295,69
Mackerel,1,12:42:47.901675,69
Mackerel,1,12:42:49.113257,65
Mackerel,1,12:42:50.309172,70
Mackerel,1,12:42:51.514010,68
Mackerel,1,12:42:52.730811,68
Mackerel,1,12:42:53.935026,68
Mackerel,1,12:42:55.139684,68
Mackerel,1,12:42:56.336832,68
Mackerel,1,12:42:57.552260,68
Mackerel,1,12:42:58.744021,66
Mackerel,1,12:42:59.952441,68
Mackerel,1,12:43:01.160081,69
Mackerel,1,12:43:02.373380,70
Mackerel,1,12:43:03.570615,63
Mackerel,1,12:43:04.781757,65
Mackerel,1,12:43:05.985879,70
Mackerel,1,12:45:04.591800,71
Mackerel,1,12:45:05.708846,68
Mackerel,1,12:45:06.887937,69
Mackerel,1,12:45:08.087051,69
Mackerel,1,12:45:09.298186,68
Mackerel,1,12:45:10.499306,69
Mackerel,1,12:45:11.712434,66
Mackerel,1,12:45:12.909549,71
Mackerel,1,12:45:14.118673,67
Mackerel,1,12:45:15.325784,69
Mackerel,1,12:45:16.524898,69
Mackerel,1,12:45:17.736032,71
Mackerel,1,12:45:18.931145,69
Mackerel,1,12:45:20.137346,68
Mackerel,1,12:45:21.357459,65
Mackerel,1,12:45:22.548566,71
Mackerel,1,12:45:23.761694,70
Mackerel,1,12:45:24.972825,68
Mackerel,1,12:45:26.165434,69
Mackerel,1,12:45:27.376563,64
Mackerel,1,12:45:28.577677,68
Mackerel,1,12:47:53.989233,69
Mackerel,1,12:47:55.106376,71
Mackerel,1,12:47:56.286248,67
Mackerel,1,12:47:57.496663,72
Mackerel,1,12:47:58.694836,71
Mackerel,1,12:47:59.901404,68
Mackerel,1,12:48:01.104240,72
Mackerel,1,12:48:02.315197,68
Mackerel,1,12:48:03.523321,72
Mackerel,1,12:48:04.729766,73
Mackerel,1,12:48:05.939796,70
Mackerel,1,12:48:07.141741,71
Mackerel,1,12:48:08.350317,70
Mackerel,1,12:48:09.554467,66
Mackerel,1,12:48:10.755176,70
Mackerel,1,12:48:11.959926,70
Mackerel,1,12:48:13.171991,66
Mackerel,1,12:48:14.376391,67
Mackerel,1,12:48:15.582054,70
Mackerel,1,12:48:16.784256,72
Mackerel,1,12:48:17.982777,69
Mackerel,1,12:50:26.215802,69
Mackerel,1,12:50:27.323854,66
Mackerel,1,12:50:28.514958,64
Mackerel,1,12:50:29.728535,69
Mackerel,1,12:50:30.926552,69
Mackerel,1,12:50:32.129508,66
Mackerel,1,12:50:33.345076,68
Mackerel,1,12:50:34.541523,68
Mackerel,1,12:50:35.757846,68
Mackerel,1,12:50:36.956154,69
Mackerel,1,12:50:38.167459,66
Mackerel,1,12:50:39.368142,70
Mackerel,1,12:50:40.574678,67
Mackerel,1,12:50:41.780326,64
Mackerel,1,12:50:42.989638,70
Mackerel,1,12:50:44.185822,69
Mackerel,1,12:50:45.390768,65
Mackerel,1,12:50:46.597157,70
Mackerel,1,12:50:47.813697,64
Mackerel,1,12:50:49.016953,68
Mackerel,1,12:50:50.217021,65
Mackerel,1,12:52:06.141656,73
Mackerel,1,12:52:07.247579,69
Mackerel,1,12:52:08.434164,73
Mackerel,1,12:52:09.641027,74
Mackerel,1,12:52:10.844326,73
Mackerel,1,12:52:12.060389,70
Mackerel,1,12:52:13.268503,73
Mackerel,1,12:52:14.472483,74
Mackerel,1,12:52:15.678344,75
Mackerel,1,12:52:16.878599,70
Mackerel,1,12:52:18.082892,72
Mackerel,1,12:52:19.283480,73
Mackerel,1,12:52:20.493531,72
Mackerel,1,12:52:21.706571,73
Mackerel,1,12:52:22.909384,72
Mackerel,1,12:52:24.112511,72
Mackerel,1,12:52:25.315415,72
Mackerel,1,12:52:26.521492,73
Mackerel,1,12:52:27.724842,69
Mackerel,1,12:52:28.927380,73
Mackerel,1,12:52:30.139685,73
Mackerel,1,14:39:43.166535,72
Mackerel,1,14:39:44.270687,73
Mackerel,1,14:39:45.470396,75
Mackerel,1,14:39:46.675686,73
Mackerel,1,14:39:47.882627,73
Mackerel,1,14:39:49.093653,69
Mackerel,1,14:39:50.293734,74
Mackerel,1,14:39:51.511084,74
Mackerel,1,14:39:52.708187,73
Mackerel,1,14:39:53.909035,73
Mackerel,1,14:39:55.114172,71
Mackerel,1,14:39:56.331971,74
Mackerel,1,14:39:57.529896,75
Mackerel,1,14:39:58.738867,76
Mackerel,1,14:39:59.944562,72
Mackerel,1,14:40:01.145591,75
Mackerel,1,14:40:02.344704,70
Mackerel,1,14:40:03.555844,73
Mackerel,1,14:40:04.766994,70
Mackerel,1,14:40:05.962082,70
Mackerel,1,14:40:07.181214,74
Mackerel,1,14:40:48.279799,70
Mackerel,1,14:40:49.396937,71
Mackerel,1,14:40:50.583581,70
Mackerel,1,14:40:51.782674,74
Mackerel,1,14:40:52.982571,71
Mackerel,1,14:40:54.191900,72
Mackerel,1,14:40:55.404404,72
Mackerel,1,14:40:56.608730,69
Mackerel,1,14:40:57.808982,68
Mackerel,1,14:40:59.021856,73
Mackerel,1,14:41:00.222305,71
Mackerel,1,14:41:01.424337,72
Mackerel,1,14:41:02.639472,68
Mackerel,1,14:41:03.833011,72
Mackerel,1,14:41:05.048772,72
Mackerel,1,14:41:06.249563,68
Mackerel,1,14:41:07.450407,70
Mackerel,1,14:41:08.654864,67
Mackerel,1,14:41:09.865280,71
Mackerel,1,14:41:11.068732,73
Mackerel,1,14:41:12.271576,72
Mackerel,1,14:41:47.238470,74
Mackerel,1,14:41:48.352617,76
Mackerel,1,14:41:49.560512,71
Mackerel,1,14:41:50.760974,74
Mackerel,1,14:41:51.959408,73
Mackerel,1,14:41:53.177995,74
Mackerel,1,14:41:54.373916,74
Mackerel,1,14:41:55.584980,72
Mackerel,1,14:41:56.791549,73
Mackerel,1,14:41:57.990715,69
Mackerel,1,14:41:59.201330,69
Mackerel,1,14:42:00.398558,70
Mackerel,1,14:42:01.602332,73
Mackerel,1,14:42:02.809696,75
Mackerel,1,14:42:04.021033,73
Mackerel,1,14:42:05.234396,74
Mackerel,1,14:42:06.435600,70
Mackerel,1,14:42:07.631050,73
Mackerel,1,14:42:08.840168,71
Mackerel,1,14:42:10.053291,75
Mackerel,1,14:42:11.252409,73
Mackerel,1,14:42:48.382871,72
Mackerel,1,14:42:49.490013,73
Mackerel,1,14:42:50.678986,73
Mackerel,1,14:42:51.882167,73
Mackerel,1,14:42:53.089115,72
Mackerel,1,14:42:54.297274,72
Mackerel,1,14:42:55.507193,74
Mackerel,1,14:42:56.703853,69
Mackerel,1,14:42:57.920886,73
Mackerel,1,14:42:59.119614,68
Mackerel,1,14:43:00.324321,74
Mackerel,1,14:43:01.527967,74
Mackerel,1,14:43:02.741087,75
Mackerel,1,14:43:03.938049,71
Mackerel,1,14:43:05.153327,73
Mackerel,1,14:43:06.360823,72
Mackerel,1,14:43:07.554882,74
Mackerel,1,14:43:08.772885,72
Mackerel,1,14:43:09.972299,74
Mackerel,1,14:43:11.181670,74
Mackerel,1,14:43:12.378506,70
Mackerel,1,14:43:45.509640,71
Mackerel,1,14:43:46.615098,70
Mackerel,1,14:43:47.807753,72
Mackerel,1,14:43:49.005490,67
Mackerel,1,14:43:50.209729,72
Mackerel,1,14:43:51.423492,72
Mackerel,1,14:43:52.623118,71
Mackerel,1,14:43:53.836232,70
Mackerel,1,14:43:55.035680,70
Mackerel,1,14:43:56.239500,72
Mackerel,1,14:43:57.456739,73
Mackerel,1,14:43:58.658827,70
Mackerel,1,14:43:59.858516,70
Mackerel,1,14:44:01.060513,71
Mackerel,1,14:44:02.275637,71
Mackerel,1,14:44:03.482018,73
Mackerel,1,14:44:04.687490,71
Mackerel,1,14:44:05.892418,68
Mackerel,1,14:44:07.087475,70
Mackerel,1,14:44:08.296605,71
Mackerel,1,14:44:09.500968,72
Mackerel,1,14:45:20.902594,71
Mackerel,1,14:45:22.015244,70
Mackerel,1,14:45:23.219605,72
Mackerel,1,14:45:24.421028,68
Mackerel,1,14:45:25.630584,74
Mackerel,1,14:45:26.832837,70
Mackerel,1,14:45:28.032538,70
Mackerel,1,14:45:29.241473,75
Mackerel,1,14:45:30.440884,73
Mackerel,1,14:45:31.646731,72
Mackerel,1,14:45:32.852502,72
Mackerel,1,14:45:34.064547,74
Mackerel,1,14:45:35.268677,73
Mackerel,1,14:45:36.471067,72
Mackerel,1,14:45:37.679957,73
Mackerel,1,14:45:38.879113,71
Mackerel,1,14:45:40.087600,69
Mackerel,1,14:45:41.294344,71
Mackerel,1,14:45:42.501516,72
Mackerel,1,14:45:43.706216,70
Mackerel,1,14:45:44.914292,72
Mackerel,1,14:47:14.524951,71
Mackerel,1,14:47:15.628905,72
Mackerel,1,14:47:16.810964,72
Mackerel,1,14:47:18.021915,74
Mackerel,1,14:47:19.222316,74
Mackerel,1,14:47:20.434460,72
Mackerel,1,14:47:21.637809,73
Mackerel,1,14:47:22.852101,72
Mackerel,1,14:47:24.058331,72
Mackerel,1,14:47:25.258903,72
Mackerel,1,14:47:26.464325,71
Mackerel,1,14:47:27.662788,72
Mackerel,1,14:47:28.867296,74
Mackerel,1,14:47:30.084494,68
Mackerel,1,14:47:31.281685,71
Mackerel,1,14:47:32.495279,69
Mackerel,1,14:47:33.697655,71
Mackerel,1,14:47:34.897420,74
Mackerel,1,14:47:36.109096,73
Mackerel,1,14:47:37.312877,72
Mackerel,1,14:47:38.511850,71
Mackerel,1,14:49:00.018440,71
Mackerel,1,14:49:01.135102,72
Mackerel,1,14:49:02.321445,68
Mackerel,1,14:49:03.525304,73
Mackerel,1,14:49:04.728573,71
Mackerel,1,14:49:05.929768,67
Mackerel,1,14:49:07.145005,71
Mackerel,1,14:49:08.342963,70
Mackerel,1,14:49:09.544779,70
Mackerel,1,14:49:10.760112,71
Mackerel,1,14:49:11.960643,71
Mackerel,1,14:49:13.170506,70
Mackerel,1,14:49:14.376838,67
Mackerel,1,14:49:15.585046,67
Mackerel,1,14:49:16.782990,72
Mackerel,1,14:49:17.997449,73
Mackerel,1,14:49:19.191282,71
Mackerel,1,14:49:20.407607,73
Mackerel,1,14:49:21.612495,71
Mackerel,1,14:49:22.813032,70
Mackerel,1,14:49:24.024964,67
Mackerel,1,14:50:56.771470,71
Mackerel,1,14:50:57.887427,70
Mackerel,1,14:50:59.086522,73
Mackerel,1,14:51:00.282240,68
Mackerel,1,14:51:01.501817,67
Mackerel,1,14:51:02.700184,72
Mackerel,1,14:51:03.909001,72
Mackerel,1,14:51:05.108887,71
Mackerel,1,14:51:06.324891,72
Mackerel,1,14:51:07.518704,70
Mackerel,1,14:51:08.731014,70
Mackerel,1,14:51:09.933844,72
Mackerel,1,14:51:11.137927,71
Mackerel,1,14:51:12.352769,76
Mackerel,1,14:51:13.551215,71
Mackerel,1,14:51:14.754621,71
Mackerel,1,14:51:15.955537,68
Mackerel,1,14:51:17.168001,68
Mackerel,1,14:51:18.366779,68
Mackerel,1,14:51:19.580928,72
Mackerel,1,14:51:20.781390,67
Mackerel,1,14:51:58.597734,70
Mackerel,1,14:51:59.706036,68
Mackerel,1,14:52:00.897157,70
Mackerel,1,14:52:02.097393,70
Mackerel,1,14:52:03.304228,68
Mackerel,1,14:52:04.517501,70
Mackerel,1,14:52:05.714710,69
Mackerel,1,14:52:06.923580,67
Mackerel,1,14:52:08.138518,69
Mackerel,1,14:52:09.331166,69
Mackerel,1,14:52:10.540292,70
Mackerel,1,14:52:11.749419,66
Mackerel,1,14:52:12.960538,65
Mackerel,1,14:52:14.157655,66
Mackerel,1,14:52:15.370766,71
Mackerel,1,14:52:16.575885,69
Mackerel,1,14:52:17.779993,67
Mackerel,1,14:52:18.988643,70
Mackerel,1,14:52:20.193769,69
Mackerel,1,14:52:21.392886,69
Mackerel,1,14:52:22.603011,66
Tilapia,1,11:00:37.049738,72
Tilapia,1,11:00:38.156541,72
Tilapia,1,11:00:39.356577,71
Tilapia,1,11:00:40.560038,69
Tilapia,1,11:00:41.757626,72
Tilapia,1,11:00:42.965733,71
Tilapia,1,11:00:44.178622,72
Tilapia,1,11:00:45.380955,73
Tilapia,1,11:00:46.582168,72
Tilapia,1,11:00:47.787546,71
Tilapia,1,11:00:48.993607,74
Tilapia,1,11:00:50.206097,71
Tilapia,1,11:00:51.406633,73
Tilapia,1,11:00:52.604590,71
Tilapia,1,11:00:53.816285,70
Tilapia,1,11:00:55.026272,71
Tilapia,1,11:00:56.226532,73
Tilapia,1,11:00:57.427280,73
Tilapia,1,11:00:58.643195,74
Tilapia,1,11:00:59.846633,70
Tilapia,1,11:02:40.575338,71
Tilapia,1,11:02:41.692382,69
Tilapia,1,11:02:42.871485,70
Tilapia,1,11:02:44.065596,70
Tilapia,1,11:02:45.283208,74
Tilapia,1,11:02:46.477072,71
Tilapia,1,11:02:47.683028,73
Tilapia,1,11:02:48.899920,68
Tilapia,1,11:02:50.095031,71
Tilapia,1,11:02:51.307294,70
Tilapia,1,11:02:52.506639,67
Tilapia,1,11:02:53.716602,68
Tilapia,1,11:02:54.918415,71
Tilapia,1,11:02:56.131941,70
Tilapia,1,11:02:57.331996,71
Tilapia,1,11:02:58.537639,73
Tilapia,1,11:02:59.748163,67
Tilapia,1,11:03:00.949127,71
Tilapia,1,11:03:02.155951,72
Tilapia,1,11:03:03.360312,71
Tilapia,1,11:03:04.570245,71
Tilapia,1,11:04:52.416730,73
Tilapia,1,11:04:53.535045,74
Tilapia,1,11:04:54.719274,69
Tilapia,1,11:04:55.926006,76
Tilapia,1,11:04:57.122653,73
Tilapia,1,11:04:58.339714,73
Tilapia,1,11:04:59.533141,73
Tilapia,1,11:05:00.753652,75
Tilapia,1,11:05:01.943986,69
Tilapia,1,11:05:03.156875,71
Tilapia,1,11:05:04.362973,72
Tilapia,1,11:05:05.563665,75
Tilapia,1,11:05:06.780954,74
Tilapia,1,11:05:07.977508,72
Tilapia,1,11:05:09.191412,72
Tilapia,1,11:05:10.385108,73
Tilapia,1,11:05:11.601260,74
Tilapia,1,11:05:12.795370,67
Tilapia,1,11:05:14.012980,73
Tilapia,1,11:05:15.208783,73
Tilapia,1,11:05:16.420220,70
Tilapia,1,11:05:53.528581,75
Tilapia,1,11:05:54.634914,71
Tilapia,1,11:05:55.826817,74
Tilapia,1,11:05:57.042858,73
Tilapia,1,11:05:58.241100,73
Tilapia,1,11:05:59.454199,73
Tilapia,1,11:06:00.647851,72
Tilapia,1,11:06:01.856372,73
Tilapia,1,11:06:03.057884,69
Tilapia,1,11:06:04.267442,74
Tilapia,1,11:06:05.476706,74
Tilapia,1,11:06:06.675843,73
Tilapia,1,11:06:07.888747,73
Tilapia,1,11:06:09.086882,73
Tilapia,1,11:06:10.298970,68
Tilapia,1,11:06:11.496079,73
Tilapia,1,11:06:12.711212,68
Tilapia,1,11:06:13.910327,71
Tilapia,1,11:06:15.121443,69
Tilapia,1,11:06:16.318553,74
Tilapia,1,11:06:17.531677,73
Tilapia,1,11:07:13.144728,73
Tilapia,1,11:07:14.253152,72
Tilapia,1,11:07:15.435991,73
Tilapia,1,11:07:16.640187,73
Tilapia,1,11:07:17.857197,73
Tilapia,1,11:07:19.056618,71
Tilapia,1,11:07:20.265927,68
Tilapia,1,11:07:21.468482,73
Tilapia,1,11:07:22.671287,75
Tilapia,1,11:07:23.880246,69
Tilapia,1,11:07:25.088823,68
Tilapia,1,11:07:26.287751,73
Tilapia,1,11:07:27.495521,69
Tilapia,1,11:07:28.702615,72
Tilapia,1,11:07:29.916360,74
Tilapia,1,11:07:31.118234,70
Tilapia,1,11:07:32.317109,71
Tilapia,1,11:07:33.519314,73
Tilapia,1,11:07:34.724726,73
Tilapia,1,11:07:35.934668,74
Tilapia,1,11:07:37.149632,68
Tilapia,1,11:10:18.977509,78
Tilapia,1,11:10:20.090518,77
Tilapia,1,11:10:21.268042,77
Tilapia,1,11:10:22.477482,74
Tilapia,1,11:10:23.683836,76
Tilapia,1,11:10:24.894397,76
Tilapia,1,11:10:26.089679,78
Tilapia,1,11:10:27.300811,77
Tilapia,1,11:10:28.499924,77
Tilapia,1,11:10:29.711060,74
Tilapia,1,11:10:30.916173,75
